C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4
-360,39.27,0.921,0.785,0.872,0.811,1.218
-359,39.31,0.873,0.758,0.843,0.78,1.112
-358,39.43,0.835,0.73,0.812,0.747,1.051
-357,39.63,0.805,0.694,0.781,0.716,1.028
-356,39.9,0.771,0.662,0.748,0.68,0.993
-355,40.26,0.724,0.629,0.714,0.643,0.91
-354,40.69,0.681,0.604,0.683,0.611,0.825
-353,41.2,0.647,0.577,0.655,0.583,0.774
-352,41.79,0.62,0.553,0.629,0.562,0.735
-351,42.45,0.6,0.534,0.611,0.546,0.708
-350,43.2,0.593,0.52,0.597,0.54,0.716
-349,44.02,0.593,0.498,0.578,0.532,0.763
-348,44.91,0.603,0.493,0.566,0.528,0.826
-347,45.89,0.613,0.483,0.552,0.522,0.894
-346,46.93,0.622,0.479,0.54,0.519,0.949
-345,48.06,0.623,0.471,0.532,0.517,0.973
-344,49.26,0.621,0.464,0.525,0.517,0.976
-343,50.53,0.618,0.461,0.515,0.521,0.976
-342,51.87,0.618,0.462,0.51,0.525,0.976
-341,53.29,0.619,0.461,0.511,0.523,0.981
-340,54.78,0.62,0.457,0.51,0.523,0.992
-339,56.34,0.621,0.453,0.506,0.526,0.998
-338,57.97,0.621,0.454,0.5,0.524,1.006
-337,59.67,0.622,0.454,0.495,0.516,1.023
-336,61.44,0.628,0.456,0.492,0.529,1.033
-335,63.28,0.626,0.456,0.486,0.537,1.028
-334,65.18,0.618,0.457,0.484,0.526,1.006
-333,67.15,0.603,0.46,0.476,0.52,0.955
-332,69.19,0.589,0.462,0.477,0.516,0.903
-331,71.29,0.582,0.467,0.477,0.518,0.865
-330,73.45,0.577,0.469,0.477,0.52,0.842
-329,75.67,0.57,0.473,0.477,0.509,0.823
-328,77.96,0.562,0.468,0.472,0.506,0.803
-327,80.31,0.558,0.464,0.471,0.519,0.779
-326,82.71,0.551,0.465,0.467,0.513,0.76
-325,85.17,0.544,0.461,0.456,0.508,0.752
-324,87.69,0.538,0.454,0.452,0.502,0.746
-323,90.26,0.541,0.454,0.453,0.499,0.757
-322,92.89,0.551,0.46,0.465,0.504,0.775
-321,95.57,0.568,0.463,0.464,0.503,0.842
-320,98.3,0.584,0.467,0.472,0.501,0.896
-319,101.09,0.58,0.468,0.476,0.49,0.885
-318,103.92,0.555,0.465,0.485,0.483,0.788
-317,106.8,0.564,0.465,0.494,0.498,0.798
-316,109.72,0.58,0.475,0.494,0.501,0.849
-315,112.69,0.587,0.477,0.494,0.49,0.886
-314,115.7,0.581,0.471,0.489,0.492,0.871
-313,118.76,0.588,0.467,0.499,0.499,0.888
-312,121.85,0.579,0.476,0.508,0.495,0.838
-311,124.99,0.562,0.467,0.514,0.49,0.778
-310,128.16,0.555,0.47,0.516,0.483,0.751
-309,131.37,0.569,0.472,0.522,0.501,0.78
-308,134.61,0.588,0.477,0.527,0.514,0.834
-307,137.89,0.585,0.476,0.532,0.511,0.823
-306,141.19,0.574,0.479,0.534,0.508,0.777
-305,144.53,0.58,0.486,0.537,0.51,0.787
-304,147.9,0.589,0.481,0.54,0.512,0.823
-303,151.3,0.587,0.486,0.544,0.523,0.795
-302,154.72,0.579,0.485,0.55,0.527,0.753
-301,158.16,0.556,0.494,0.552,0.523,0.653
-300,161.63,0.527,0.496,0.557,0.524,0.53
-299,165.12,0.527,0.499,0.559,0.532,0.519
-298,168.63,0.534,0.502,0.561,0.539,0.535
-297,172.16,0.546,0.503,0.563,0.538,0.578
-296,175.7,0.56,0.499,0.562,0.543,0.636
-295,179.26,0.575,0.506,0.569,0.546,0.681
-294,182.83,0.592,0.513,0.577,0.547,0.731
-293,186.42,0.62,0.523,0.583,0.546,0.828
-292,190.02,0.647,0.523,0.583,0.548,0.933
-291,193.62,0.667,0.521,0.587,0.551,1.008
-290,197.24,0.677,0.509,0.591,0.555,1.054
-289,200.86,0.682,0.517,0.6,0.557,1.054
-288,204.49,0.682,0.529,0.606,0.556,1.039
-287,208.12,0.686,0.536,0.612,0.56,1.037
-286,211.75,0.689,0.537,0.614,0.562,1.043
-285,215.38,0.68,0.529,0.615,0.569,1.009
-284,219.02,0.662,0.534,0.617,0.57,0.926
-283,222.65,0.643,0.534,0.622,0.571,0.843
-282,226.27,0.635,0.544,0.63,0.573,0.794
-281,229.9,0.634,0.55,0.632,0.575,0.779
-280,233.51,0.64,0.549,0.638,0.579,0.796
-279,237.12,0.654,0.555,0.641,0.584,0.835
