C.A.(DEG),VOL(CC),MEAN(B),CYL_1,CYL_2,CYL_3,CYL_4,,,,,
-360,39.27,0.992,0.868,0.941,0.882,1.279,,,,,
-359,39.31,0.972,0.861,0.93,0.872,1.224,,,,,
-358,39.43,0.932,0.844,0.908,0.851,1.125,,,,,
-357,39.63,0.905,0.829,0.883,0.835,1.072,,,,,
-356,39.9,0.895,0.815,0.862,0.814,1.089,,,,,
-355,40.26,0.883,0.8,0.846,0.797,1.09,,,,,
-354,40.69,0.844,0.78,0.822,0.775,0.999,,,,,
-353,41.2,0.798,0.756,0.793,0.743,0.901,,,,,
-352,41.79,0.751,0.733,0.763,0.713,0.796,,,,,
-351,42.45,0.704,0.712,0.733,0.689,0.682,,,,,
-350,43.2,0.665,0.688,0.715,0.663,0.592,,,,,
-349,44.02,0.653,0.674,0.699,0.644,0.594,,,,,
-348,44.91,0.666,0.655,0.685,0.632,0.694,,,,,
-347,45.89,0.681,0.64,0.669,0.618,0.798,,,,,
-346,46.93,0.682,0.627,0.648,0.602,0.851,,,,,
-345,48.06,0.678,0.621,0.623,0.591,0.875,,,,,
-344,49.26,0.67,0.604,0.607,0.587,0.881,,,,,
-343,50.53,0.652,0.59,0.587,0.573,0.857,,,,,
-342,51.87,0.621,0.574,0.57,0.557,0.783,,,,,
-341,53.29,0.583,0.561,0.552,0.547,0.671,,,,,
-340,54.78,0.538,0.552,0.533,0.531,0.535,,,,,
-339,56.34,0.502,0.546,0.525,0.525,0.412,,,,,
-338,57.97,0.475,0.538,0.509,0.51,0.345,,,,,
-337,59.67,0.458,0.519,0.494,0.496,0.321,,,,,
-336,61.44,0.448,0.506,0.476,0.488,0.323,,,,,
-335,63.28,0.44,0.501,0.458,0.469,0.334,,,,,
-334,65.18,0.444,0.496,0.447,0.461,0.373,,,,,
-333,67.15,0.451,0.484,0.435,0.449,0.438,,,,,
-332,69.19,0.46,0.474,0.419,0.442,0.505,,,,,
-331,71.29,0.462,0.465,0.404,0.423,0.554,,,,,
-330,73.45,0.463,0.458,0.391,0.429,0.575,,,,,
-329,75.67,0.459,0.448,0.383,0.426,0.581,,,,,
-328,77.96,0.453,0.437,0.373,0.416,0.584,,,,,
-327,80.31,0.448,0.428,0.369,0.406,0.591,,,,,
-326,82.71,0.445,0.422,0.363,0.395,0.601,,,,,
-325,85.17,0.448,0.417,0.362,0.384,0.628,,,,,
-324,87.69,0.446,0.412,0.331,0.374,0.668,,,,,
-323,90.26,0.441,0.401,0.317,0.357,0.69,,,,,
-322,92.89,0.439,0.391,0.319,0.351,0.694,,,,,
-321,95.57,0.43,0.382,0.314,0.35,0.674,,,,,
-320,98.3,0.414,0.368,0.304,0.341,0.643,,,,,
-319,101.09,0.401,0.374,0.309,0.328,0.593,,,,,
-318,103.92,0.386,0.393,0.3,0.322,0.529,,,,,
-317,106.8,0.366,0.372,0.304,0.317,0.471,,,,,
-316,109.72,0.364,0.374,0.305,0.305,0.474,,,,,
-315,112.69,0.371,0.363,0.3,0.299,0.523,,,,,
-314,115.7,0.359,0.359,0.299,0.29,0.487,,,,,
-313,118.76,0.342,0.38,0.298,0.305,0.384,,,,,
-312,121.85,0.341,0.372,0.292,0.326,0.373,,,,,
-311,124.99,0.343,0.359,0.29,0.252,0.471,,,,,
-310,128.16,0.37,0.356,0.287,0.286,0.551,,,,,
-309,131.37,0.389,0.361,0.294,0.313,0.587,,,,,
-308,134.61,0.394,0.35,0.3,0.274,0.653,,,,,
-307,137.89,0.404,0.346,0.301,0.269,0.699,,,,,
-306,141.19,0.387,0.353,0.298,0.294,0.601,,,,,
-305,144.53,0.365,0.354,0.296,0.288,0.523,,,,,
-304,147.9,0.35,0.341,0.3,0.261,0.5,,,,,
-303,151.3,0.349,0.334,0.3,0.271,0.492,,,,,
-302,154.72,0.35,0.34,0.298,0.284,0.477,,,,,
-301,158.16,0.349,0.333,0.296,0.278,0.489,,,,,
-300,161.63,0.369,0.333,0.295,0.271,0.576,,,,,
-299,165.12,0.4,0.336,0.3,0.287,0.676,,,,,
-298,168.63,0.433,0.342,0.3,0.293,0.795,,,,,
-297,172.16,0.444,0.336,0.302,0.285,0.854,,,,,
-296,175.7,0.451,0.333,0.298,0.282,0.89,,,,,
-295,179.26,0.451,0.339,0.296,0.298,0.872,,,,,
-294,182.83,0.437,0.341,0.299,0.305,0.803,,,,,
-293,186.42,0.416,0.345,0.307,0.299,0.715,,,,,
-292,190.02,0.408,0.348,0.312,0.301,0.669,,,,,
-291,193.62,0.403,0.35,0.309,0.306,0.648,,,,,
-290,197.24,0.393,0.354,0.306,0.308,0.605,,,,,
-289,200.86,0.378,0.357,0.308,0.307,0.542,,,,,
-288,204.49,0.372,0.369,0.311,0.317,0.493,,,,,
-287,208.12,0.368,0.362,0.323,0.326,0.461,,,,,
-286,211.75,0.373,0.371,0.325,0.325,0.47,,,,,
-285,215.38,0.385,0.377,0.331,0.326,0.506,,,,,
-284,219.02,0.395,0.386,0.336,0.331,0.529,,,,,
-283,222.65,0.401,0.369,0.337,0.335,0.564,,,,,
-282,226.27,0.417,0.376,0.339,0.34,0.612,,,,,
-281,229.9,0.434,0.39,0.34,0.342,0.666,,,,,
-280,233.51,0.452,0.392,0.347,0.348,0.719,,,,,
-279,237.12,0.466,0.387,0.359,0.35,0.767,,,,,
-278,240.73,0.48,0.393,0.368,0.351,0.808,,,,,
-277,244.32,0.486,0.405,0.375,0.354,0.809,,,,,
-276,247.9,0.489,0.408,0.375,0.364,0.809,,,,,
-275,251.47,0.487,0.401,0.379,0.366,0.801,,,,,
-274,255.03,0.491,0.412,0.384,0.37,0.798,,,,,
-273,258.57,0.498,0.419,0.392,0.374,0.807,,,,,
-272,262.09,0.499,0.416,0.404,0.38,0.796,,,,,
-271,265.6,0.499,0.424,0.411,0.382,0.779,,,,,
-270,269.09,0.506,0.433,0.416,0.389,0.784,,,,,
-269,272.57,0.518,0.443,0.421,0.4,0.808,,,,,
-268,276.02,0.522,0.448,0.424,0.4,0.817,,,,,
-267,279.45,0.522,0.463,0.434,0.402,0.792,,,,,
-266,282.86,0.509,0.467,0.435,0.409,0.726,,,,,
-265,286.24,0.498,0.472,0.438,0.419,0.663,,,,,
-264,289.61,0.494,0.475,0.444,0.421,0.636,,,,,
-263,292.95,0.506,0.487,0.448,0.427,0.661,,,,,
-262,296.26,0.53,0.497,0.461,0.436,0.727,,,,,
-261,299.54,0.552,0.509,0.469,0.44,0.79,,,,,
-260,302.8,0.567,0.509,0.475,0.449,0.834,,,,,
-259,306.03,0.587,0.524,0.486,0.46,0.878,,,,,
-258,309.23,0.6,0.533,0.494,0.469,0.906,,,,,
-257,312.4,0.612,0.546,0.5,0.482,0.919,,,,,
-256,315.54,0.616,0.548,0.512,0.489,0.917,,,,,
-255,318.65,0.621,0.556,0.522,0.502,0.903,,,,,
-254,321.73,0.628,0.568,0.529,0.514,0.903,,,,,
-253,324.77,0.631,0.579,0.533,0.518,0.895,,,,,
-252,327.79,0.637,0.595,0.547,0.525,0.88,,,,,
